id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10749,Sierra Ferrell,Far Away Across the Sea,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714225929
10750,Sierra Ferrell,Silver Dollar,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714225802
10751,Sierra Ferrell,West Virginia Waltz,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714225587
10752,Sierra Ferrell,At the End of the Rainbow,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714225365
10753,Sierra Ferrell,Bells Of Every Chapel [Feat. Billy Strings],Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714225108
10754,Sierra Ferrell,Jeremiah,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714224923
10755,Sierra Ferrell,The Sea,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714224706
10756,Local Natives,Alpharetta,But I'll Wait For You,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/26feda70fef1f3062f57d4e43ee34f92.jpg,0,1714220683
10757,A R I Z O N A,Cross My Mind,Modern Indie Pop Bangers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,0,1714220433
10758,Mike Shinoda,Happy Endings,Modern Indie Pop Bangers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,0,1714220220
10759,GAYLE,leave me for dead,Modern Indie Pop Bangers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,0,1714220044
10760,Cat Clyde,Pastures of Plenty,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714183322
10761,Cat Clyde,Girl from the North Country,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714183154
10762,Cat Clyde,What Am I Living For,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182990
10763,Cat Clyde,It Hurts Me Too,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182840
10764,Cat Clyde,Tried and Cried,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182689
10765,Cat Clyde,Freight Train,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182562
10766,Cat Clyde,Hello Stranger,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182412
10767,Cat Clyde,Been Worryin',Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182228
10768,Cat Clyde,You Were Born to Die,Blue Blue Blue,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f7e77b7844aa557cf5f710d5425f140e.jpg,0,1714182084
10769,Sierra Ferrell,Jeremiah,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714181881
10770,Emily Nenni,Never One to Stay,Hell of a Woman,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/49016740438791744d52b7db9245e0d1.jpg,0,1714181752
10771,The Wilder Blue,Excuse Me,Super Natural,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6f3856b1ddf59b37df9c38c0bf7287f7.png,0,1714181682
10772,Shakey Graves,Ready or Not (feat. Sierra Ferrell),Movie Of The Week,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/34927f8ef9fe421da292d71eeafeb028.jpg,0,1714181488
10773,Esther Rose,Money Tree,This Time Last Night,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/21f956926b2b43f3f901ccde545ceb81.jpg,0,1714181339
10774,Watchhouse,Hard Travelin',Blindfaller,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/13667d12dc1367b4376c7adcfb09078c.jpg,0,1714181175
10775,Sierra Ferrell,The Sea,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714180961
10776,Sierra Ferrell,No Letter,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180815
10777,Sierra Ferrell,No Letter,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180725
10778,Sierra Ferrell,I’ll Come Off The Mountain,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180639
10779,Sierra Ferrell,Lighthouse,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180419
10780,Sierra Ferrell,Rosemary,Trail Of Flowers,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/75260801169d3db2c83a4a9adddea70a.jpg,0,1714180201
