id,artist,title,album,release_date,album_art,timestamp
52,Waxahatchee,Crowbar,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582799
53,Waxahatchee,Crimes Of The Heart,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582615
54,Waxahatchee,Lone Star Lake,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582419
55,Waxahatchee,Bored,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582244
56,Waxahatchee,Burns Out At Midnight,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732558743
57,Waxahatchee,Right Back To It,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732558470
58,Waxahatchee,Ice Cold,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732558259
59,Waxahatchee,Evil Spawn,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732558067
60,Waxahatchee,3 Sisters,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732557817
61,Brother Bird,famous,another year,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/c6208ae446fba53f4e3a99e31b3bd2ab.jpg,1732555413
62,Brother Bird,final scene,another year,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/c6208ae446fba53f4e3a99e31b3bd2ab.jpg,1732555198
63,Brother Bird,something better,another year,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/c6208ae446fba53f4e3a99e31b3bd2ab.jpg,1732555003
64,Brother Bird,i'm sorry,another year,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/c6208ae446fba53f4e3a99e31b3bd2ab.jpg,1732554537
65,Kendrick Lamar,LOVE. FEAT. ZACARI.,DAMN.,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/8a59ed3a9c71cb5113325e2026889e4a.png,1732551542
66,Kendrick Lamar,gloria (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732551254
67,Kendrick Lamar,"gnx (feat. hitta j3, youngthreat, peysoh)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732551061
68,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732550768
69,Kendrick Lamar,peekaboo (feat. AzChike),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732550612
70,Kendrick Lamar,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732548978
71,Kendrick Lamar,tv off (feat. Lefty Gunplay),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732548757
72,Kendrick Lamar,reincarnated,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732548481
73,Kendrick Lamar,hey now (feat. Dody6),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732548264
74,Kendrick Lamar,man at the garden,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732548031
75,Kendrick Lamar,luther (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732547853
76,Kendrick Lamar,squabble up,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732547695
77,Kendrick Lamar,wacced out murals,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732547379
78,070 Shake,Pieces Of You,petrichor,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/70531a5e45aaa86ce4b1ab066952b7b7.png,1732547283
79,070 Shake,Elephant,petrichor,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/70531a5e45aaa86ce4b1ab066952b7b7.png,1732547034
80,070 Shake,Sin,petrichor,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/70531a5e45aaa86ce4b1ab066952b7b7.png,1732546823
81,Cordae,Back on the Road (feat. Lil Wayne),The Crossroads,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4b9df9996d9c2dc9c9e392ff2fc93fc8.jpg,1732546626
82,Cordae,06 dreamin,The Crossroads,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4b9df9996d9c2dc9c9e392ff2fc93fc8.jpg,1732546472
83,Cordae,Intro,The Crossroads,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4b9df9996d9c2dc9c9e392ff2fc93fc8.jpg,1732546403
84,Willi Carlisle,Two-Headed Lamb,Critterland,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4e8366ef22944c0d62bbab62d09f6d1b.jpg,1732505729
85,Willi Carlisle,The Great Depression,Critterland,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4e8366ef22944c0d62bbab62d09f6d1b.jpg,1732505528
86,Willi Carlisle,The Arrangements,Critterland,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4e8366ef22944c0d62bbab62d09f6d1b.jpg,1732505256
87,Willi Carlisle,Dry County Dust,Critterland,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4e8366ef22944c0d62bbab62d09f6d1b.jpg,1732504903
88,Willi Carlisle,Critterland,Critterland,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/4e8366ef22944c0d62bbab62d09f6d1b.jpg,1732504654
89,Zach Pietrini,Wait for the Lord,Long Cold Winter (Christmas EP 1),Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1732504443
90,Zach Pietrini,O Come O Come Emmanuel,Long Cold Winter (Christmas EP 1),Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1732504231
91,Kendrick Lamar,gloria (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732503822
92,Kendrick Lamar,"gnx (feat. hitta j3, youngthreat, peysoh)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732503629
93,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732503235
94,Kendrick Lamar,peekaboo (feat. AzChike),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732503079
95,Kendrick Lamar,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732502948
96,Kendrick Lamar,tv off (feat. Lefty Gunplay),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732502686
97,Kendrick Lamar,reincarnated,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732502410
