Album Name,Artist Name(s),Track Name,Popularity,Release Date,Genres,Record Label,track_count
Clouds In The Sky They Will Always Be There For Me,Porridge Radio,God Of Everything Else,45,2024-10-18,"brighton indie,crank wave,english indie rock,uk post-punk revival",Secretly Canadian,11
Crazy Woman,Cloudy June,Girls Like You,46,2024-11-01,alt z,Columbia/IRRSINN Aufnahmen,12
Critterland,Willi Carlisle,When the Pills Wear Off,21,2024-01-26,"alternative country,arkansas indie",Signature Sounds Recordings,10
DAROLD,A$AP Ferg,French Tips (feat. Coco Jones),58,2024-11-08,"hip hop,pop rap,rap,southern hip hop,trap,pop r&b",RCA Records Label,12
Deeper Well,Kacey Musgraves,The Architect,56,2024-03-15,"classic texas country,contemporary country,country dawn",Interscope Records/MCA Nashville,14
Digital Heartifacts,L Devine,Eaten Alive,21,2024-02-02,"alt z,uk pop",L Devine,12
Dulling The Horns,Wild Pink,The Fences of Stonehenge,42,2024-10-04,countrygaze,Fire Talk,10
Dusk,Darryl Rahn,Heaven's a Dive Bar,18,2024-02-08,,Darryl Rahn,11
Dust,Say Lou Lou,Blue Ruin,34,2024-11-22,"metropopolis,swedish electropop,vapor pop",Cosmos,10
East My Love,Current Joys,Lullaby for the Lost,40,2024-10-11,"lo-fi indie,pov: indie",Secretly Canadian,12
Everybody Needs a Hero,Orla Gartland,Backseat Driver,47,2024-10-04,"indie pop,irish pop",New Friends,12
Everything is Love and Death,Oceanator,Be Here,10,2024-08-30,"5th wave emo,bubblegrunge",Polyvinyl Records,11
Faith Crisis Pt 1,Middle Kids,Highlands,27,2024-02-16,"australian indie,sydney indie",Middle Kids,13
"Five Dice, All Threes",Bright Eyes,All Threes,44,2024-09-20,"chamber pop,indie rock,melancholia,omaha indie,stomp and holler,art pop,singer-songwriter,slowcore",Dead Oceans,13
Forgot About Me,Pouty,Virgos Need More Love,7,2024-02-09,,Get Better Records,9
GNX,Kendrick Lamar,squabble up,86,2024-11-22,"conscious hip hop,hip hop,rap,west coast rap","pgLang, under exclusive license to Interscope Records",12
Gary,Blossoms,Gary,54,2024-09-20,"british indie rock,english indie rock,modern rock",ODD SK Recordings,10
Glimmer of God,Jean Dawson,Die For Me (feat. Lil Yachty),50,2024-10-18,"indie hip hop,modern indie pop,atl hip hop,melodic rap,rap,trap",Handwritten Records,15
God Said No,Omar Apollo,Drifting,47,2024-06-28,"bedroom pop,bedroom soul",Warner Records,14
